model,question_id,tier,run,score,error_type,error_msg,llm_sql,reference_sql,tokens_in,tokens_out,cost_usd,latency_ms
claude-opus-5,t1_01,1,1,3,,,SELECT count() FROM events,SELECT count() FROM events,609,12,0.003345,4236.5
claude-opus-5,t1_01,1,2,3,,,SELECT count() FROM events;,SELECT count() FROM events,609,13,0.00337,2784.8
claude-opus-5,t1_01,1,3,3,,,SELECT count() FROM events,SELECT count() FROM events,609,12,0.003345,2569.6
claude-opus-5,t1_02,1,1,3,,,"SELECT *
FROM events
ORDER BY timestamp DESC
LIMIT 10",SELECT * FROM events ORDER BY timestamp DESC LIMIT 10,611,34,0.003905,2683.4
claude-opus-5,t1_02,1,2,3,,,"SELECT *
FROM events
ORDER BY timestamp DESC
LIMIT 10",SELECT * FROM events ORDER BY timestamp DESC LIMIT 10,611,34,0.003905,2794.9
claude-opus-5,t1_02,1,3,3,,,"SELECT *
FROM events
ORDER BY timestamp DESC
LIMIT 10",SELECT * FROM events ORDER BY timestamp DESC LIMIT 10,611,40,0.004055,2755.1
claude-opus-5,t1_03,1,1,3,,,"SELECT count() AS event_count
FROM events
WHERE timestamp >= toDateTime64('2024-03-01 00:00:00.000', 3, 'UTC')
  AND timestamp < toDateTime64('2024-04-01 00:00:00.000', 3, 'UTC');",SELECT count() FROM events WHERE timestamp >= '2024-03-01' AND timestamp < '2024-04-01',612,100,0.00556,3130.9
claude-opus-5,t1_03,1,2,3,,,"SELECT count() AS event_count
FROM events
WHERE timestamp >= toDateTime64('2024-03-01 00:00:00.000', 3, 'UTC')
  AND timestamp <  toDateTime64('2024-04-01 00:00:00.000', 3, 'UTC');",SELECT count() FROM events WHERE timestamp >= '2024-03-01' AND timestamp < '2024-04-01',612,114,0.00591,3419.9
claude-opus-5,t1_03,1,3,3,,,"SELECT count() AS event_count
FROM events
WHERE timestamp >= toDateTime64('2024-03-01 00:00:00.000', 3, 'UTC')
  AND timestamp < toDateTime64('2024-04-01 00:00:00.000', 3, 'UTC');",SELECT count() FROM events WHERE timestamp >= '2024-03-01' AND timestamp < '2024-04-01',612,100,0.00556,3204.9
claude-opus-5,t1_04,1,1,3,,,"SELECT DISTINCT event_type
FROM events
ORDER BY event_type",SELECT DISTINCT event_type FROM events ORDER BY event_type,608,36,0.00394,2774.9
claude-opus-5,t1_04,1,2,3,,,"SELECT DISTINCT event_type
FROM events
ORDER BY event_type",SELECT DISTINCT event_type FROM events ORDER BY event_type,608,36,0.00394,2544.3
claude-opus-5,t1_04,1,3,3,,,SELECT DISTINCT event_type FROM events ORDER BY event_type,SELECT DISTINCT event_type FROM events ORDER BY event_type,608,28,0.00374,2393.4
claude-opus-5,t1_05,1,1,3,,,"SELECT count() AS event_count
FROM events
WHERE country = 'DE';",SELECT count() FROM events WHERE country = 'DE',609,30,0.003795,3027.4
claude-opus-5,t1_05,1,2,3,,,"SELECT count() AS event_count
FROM events
WHERE country = 'DE'",SELECT count() FROM events WHERE country = 'DE',609,30,0.003795,2801.2
claude-opus-5,t1_05,1,3,3,,,"SELECT count() AS event_count
FROM events
WHERE country = 'DE';",SELECT count() FROM events WHERE country = 'DE',609,30,0.003795,3611.6
claude-opus-5,t1_06,1,1,3,,,"SELECT *
FROM events
WHERE event_type = 'purchase'
ORDER BY timestamp
LIMIT 5",SELECT * FROM events WHERE event_type = 'purchase' ORDER BY timestamp LIMIT 5,625,46,0.004275,5382.1
claude-opus-5,t1_06,1,2,3,,,"SELECT *
FROM events
WHERE event_type = 'purchase'
ORDER BY timestamp
LIMIT 5",SELECT * FROM events WHERE event_type = 'purchase' ORDER BY timestamp LIMIT 5,625,46,0.004275,2933.6
claude-opus-5,t1_06,1,3,3,,,"SELECT *
FROM events
WHERE event_type = 'purchase'
ORDER BY timestamp
LIMIT 5",SELECT * FROM events WHERE event_type = 'purchase' ORDER BY timestamp LIMIT 5,625,46,0.004275,3418.2
claude-opus-5,t1_07,1,1,3,,,"SELECT count() AS user_count
FROM users
WHERE plan = 'pro';",SELECT count() FROM users WHERE plan = 'pro',614,31,0.003845,3104.0
claude-opus-5,t1_07,1,2,3,,,"SELECT count() AS user_count
FROM users
WHERE plan = 'pro';",SELECT count() FROM users WHERE plan = 'pro',614,31,0.003845,3517.1
claude-opus-5,t1_07,1,3,3,,,"SELECT count() AS user_count
FROM users
WHERE plan = 'pro';",SELECT count() FROM users WHERE plan = 'pro',614,31,0.003845,3062.9
claude-opus-5,t1_08,1,1,3,,,"SELECT min(timestamp) AS earliest, max(timestamp) AS latest
FROM events;","SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events",615,36,0.003975,3116.1
claude-opus-5,t1_08,1,2,3,,,"SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events;","SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events",615,35,0.00395,4373.5
