model,question_id,tier,run,score,error_type,error_msg,llm_sql,reference_sql,tokens_in,tokens_out,cost_usd,latency_ms
claude-opus-4.6,t1_01,1,1,3,,,SELECT count() FROM events,SELECT count() FROM events,449,8,0.007335,2383.3
claude-opus-4.6,t1_01,1,2,3,,,SELECT count() FROM events,SELECT count() FROM events,449,8,0.007335,2209.3
claude-opus-4.6,t1_01,1,3,3,,,SELECT count() FROM events,SELECT count() FROM events,449,8,0.007335,1981.5
claude-opus-4.6,t1_02,1,1,3,,,"SELECT *
FROM events
ORDER BY timestamp DESC
LIMIT 10",SELECT * FROM events ORDER BY timestamp DESC LIMIT 10,449,23,0.00846,2209.3
claude-opus-4.6,t1_02,1,2,3,,,"SELECT *
FROM events
ORDER BY timestamp DESC
LIMIT 10",SELECT * FROM events ORDER BY timestamp DESC LIMIT 10,449,23,0.00846,1342.1
claude-opus-4.6,t1_02,1,3,3,,,"SELECT *
FROM events
ORDER BY timestamp DESC
LIMIT 10",SELECT * FROM events ORDER BY timestamp DESC LIMIT 10,449,23,0.00846,2139.3
claude-opus-4.6,t1_03,1,1,3,,,SELECT count() FROM events WHERE toYYYYMM(timestamp) = 202403,SELECT count() FROM events WHERE timestamp >= '2024-03-01' AND timestamp < '2024-04-01',450,28,0.00885,1754.3
claude-opus-4.6,t1_03,1,2,3,,,SELECT count() FROM events WHERE toYYYYMM(timestamp) = 202403,SELECT count() FROM events WHERE timestamp >= '2024-03-01' AND timestamp < '2024-04-01',450,28,0.00885,1802.3
claude-opus-4.6,t1_03,1,3,3,,,SELECT count() FROM events WHERE toYYYYMM(timestamp) = 202403,SELECT count() FROM events WHERE timestamp >= '2024-03-01' AND timestamp < '2024-04-01',450,28,0.00885,2316.3
claude-opus-4.6,t1_04,1,1,3,,,SELECT DISTINCT event_type FROM events,SELECT DISTINCT event_type FROM events ORDER BY event_type,446,11,0.007515,1552.4
claude-opus-4.6,t1_04,1,2,3,,,SELECT DISTINCT event_type FROM events,SELECT DISTINCT event_type FROM events ORDER BY event_type,446,16,0.00789,2100.8
claude-opus-4.6,t1_04,1,3,3,,,SELECT DISTINCT event_type FROM events,SELECT DISTINCT event_type FROM events ORDER BY event_type,446,11,0.007515,1859.7
claude-opus-4.6,t1_05,1,1,3,,,SELECT count() FROM events WHERE country = 'DE',SELECT count() FROM events WHERE country = 'DE',447,20,0.008205,2313.9
claude-opus-4.6,t1_05,1,2,3,,,SELECT count() FROM events WHERE country = 'DE',SELECT count() FROM events WHERE country = 'DE',447,20,0.008205,1524.3
claude-opus-4.6,t1_05,1,3,3,,,SELECT count() FROM events WHERE country = 'DE',SELECT count() FROM events WHERE country = 'DE',447,20,0.008205,2551.9
claude-opus-4.6,t1_06,1,1,3,,,"SELECT *
FROM events
WHERE event_type = 'purchase'
ORDER BY timestamp ASC
LIMIT 5",SELECT * FROM events WHERE event_type = 'purchase' ORDER BY timestamp LIMIT 5,457,34,0.009405,2274.6
claude-opus-4.6,t1_06,1,2,3,,,"SELECT *
FROM events
WHERE event_type = 'purchase'
ORDER BY timestamp
LIMIT 5",SELECT * FROM events WHERE event_type = 'purchase' ORDER BY timestamp LIMIT 5,457,32,0.009255,2295.7
claude-opus-4.6,t1_06,1,3,3,,,"SELECT *
FROM events
WHERE event_type = 'purchase'
ORDER BY timestamp ASC
LIMIT 5",SELECT * FROM events WHERE event_type = 'purchase' ORDER BY timestamp LIMIT 5,457,34,0.009405,1489.1
claude-opus-4.6,t1_07,1,1,3,,,SELECT count() FROM users WHERE plan = 'pro',SELECT count() FROM users WHERE plan = 'pro',452,20,0.00828,1663.6
claude-opus-4.6,t1_07,1,2,3,,,SELECT count() FROM users WHERE plan = 'pro',SELECT count() FROM users WHERE plan = 'pro',452,20,0.00828,2213.2
claude-opus-4.6,t1_07,1,3,3,,,SELECT count() FROM users WHERE plan = 'pro',SELECT count() FROM users WHERE plan = 'pro',452,20,0.00828,2248.0
claude-opus-4.6,t1_08,1,1,3,,,"SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events","SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events",449,24,0.008535,1647.0
claude-opus-4.6,t1_08,1,2,3,,,"SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events","SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events",449,24,0.008535,2210.9
claude-opus-4.6,t1_08,1,3,3,,,"SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events","SELECT min(timestamp) AS earliest, max(timestamp) AS latest FROM events",449,24,0.008535,1776.2
claude-opus-4.6,t1_09,1,1,3,,,"SELECT *
FROM events
WHERE user_id = 42
  AND timestamp >= '2024-01-01'
  AND timestamp < '2025-01-01'
ORDER BY timestamp",SELECT * FROM events WHERE user_id = 42 AND timestamp >= '2024-01-01' AND timestamp < '2025-01-01' ORDER BY timestamp,455,51,0.01065,2576.8
claude-opus-4.6,t1_09,1,2,3,,,"SELECT *
FROM events
WHERE user_id = 42
  AND timestamp >= '2024-01-01'
  AND timestamp < '2025-01-01'
ORDER BY timestamp",SELECT * FROM events WHERE user_id = 42 AND timestamp >= '2024-01-01' AND timestamp < '2025-01-01' ORDER BY timestamp,455,51,0.01065,2298.0
claude-opus-4.6,t1_09,1,3,3,,,"SELECT *
FROM events
WHERE user_id = 42
  AND timestamp >= '2024-01-01'
  AND timestamp < '2025-01-01'
ORDER BY timestamp",SELECT * FROM events WHERE user_id = 42 AND timestamp >= '2024-01-01' AND timestamp < '2025-01-01' ORDER BY timestamp,455,51,0.01065,1620.2
claude-opus-4.6,t1_10,1,1,3,,,SELECT count() FROM events WHERE duration_ms IS NOT NULL,SELECT count() FROM events WHERE duration_ms IS NOT NULL,452,20,0.00828,2477.1
claude-opus-4.6,t1_10,1,2,3,,,SELECT count() FROM events WHERE duration_ms IS NOT NULL,SELECT count() FROM events WHERE duration_ms IS NOT NULL,452,20,0.00828,1392.9
claude-opus-4.6,t1_10,1,3,3,,,SELECT count() FROM events WHERE duration_ms IS NOT NULL,SELECT count() FROM events WHERE duration_ms IS NOT NULL,452,20,0.00828,2068.3
claude-opus-4.6,t2_01,2,1,3,,,"SELECT event_type, count() AS cnt FROM events GROUP BY event_type ORDER BY cnt DESC","SELECT event_type, count() AS cnt FROM events GROUP BY event_type ORDER BY cnt DESC",453,28,0.008895,2049.0
claude-opus-4.6,t2_01,2,2,3,,,"SELECT event_type, count() AS cnt FROM events GROUP BY event_type ORDER BY cnt DESC","SELECT event_type, count() AS cnt FROM events GROUP BY event_type ORDER BY cnt DESC",453,28,0.008895,2499.9
