model,tier,total,correct,accuracy,avg_score,total_cost_usd,cost_per_correct_usd
claude-opus-5,1,30,30,1.0,3.0,0.12978,0.004326
claude-opus-5,2,30,28,0.9333,2.93,0.14186,0.005066
claude-opus-5,3,30,18,0.6,2.6,0.13329,0.007405
claude-opus-5,4,30,22,0.7333,2.73,0.20729,0.009422
claude-opus-5,5,30,13,0.4333,2.37,0.24505,0.01885
claude-sonnet-5,1,30,30,1.0,3.0,0.051342,0.001711
claude-sonnet-5,2,30,28,0.9333,2.93,0.058324,0.002083
claude-sonnet-5,3,30,18,0.6,2.6,0.052876,0.002938
claude-sonnet-5,4,30,22,0.7333,2.73,0.078866,0.003585
claude-sonnet-5,5,30,12,0.4,2.33,0.07479,0.006232
deepseek-v4-flash,1,30,30,1.0,3.0,0.001525,5.1e-05
deepseek-v4-flash,2,30,28,0.9333,2.93,0.001834,6.6e-05
deepseek-v4-flash,3,30,16,0.5333,2.53,0.002244,0.00014
deepseek-v4-flash,4,30,14,0.4667,2.47,0.003023,0.000216
deepseek-v4-flash,5,30,6,0.2,2.2,0.006224,0.001037
deepseek-v4-pro,1,30,30,1.0,3.0,0.008857,0.000295
deepseek-v4-pro,2,30,30,1.0,3.0,0.010102,0.000337
deepseek-v4-pro,3,30,18,0.6,2.6,0.010359,0.000575
deepseek-v4-pro,4,30,14,0.4667,2.47,0.016505,0.001179
deepseek-v4-pro,5,30,10,0.3333,2.33,0.019266,0.001927
gemini-3.5-flash,1,30,30,1.0,3.0,0.117454,0.003915
gemini-3.5-flash,2,30,27,0.9,2.9,0.137047,0.005076
gemini-3.5-flash,3,30,18,0.6,2.6,0.135999,0.007556
gemini-3.5-flash,4,30,16,0.5333,2.53,0.237127,0.01482
gemini-3.5-flash,5,30,12,0.4,2.27,0.303741,0.025312
gpt-5.5,1,30,30,1.0,3.0,0.11688,0.003896
gpt-5.5,2,30,30,1.0,3.0,0.14184,0.004728
gpt-5.5,3,30,14,0.4667,2.47,0.171765,0.012269
gpt-5.5,4,30,21,0.7,2.7,0.280485,0.013356
gpt-5.5,5,30,9,0.3,2.2,0.401925,0.044658
gpt-5.6-luna,1,30,30,1.0,3.0,0.00202,6.7e-05
gpt-5.6-luna,2,30,29,0.9667,2.97,0.002575,8.9e-05
gpt-5.6-luna,3,30,15,0.5,2.5,0.002639,0.000176
gpt-5.6-luna,4,30,19,0.6333,2.63,0.005131,0.00027
gpt-5.6-luna,5,30,6,0.2,2.17,0.00766,0.001277
gpt-5.6-luna-pro,1,30,30,1.0,3.0,0.013796,0.00046
gpt-5.6-luna-pro,2,30,30,1.0,3.0,0.015888,0.00053
gpt-5.6-luna-pro,3,30,12,0.4,2.37,0.01666,0.001388
gpt-5.6-luna-pro,4,30,20,0.6667,2.67,0.026024,0.001301
gpt-5.6-luna-pro,5,30,5,0.1667,2.17,0.04108,0.008216
gpt-5.6-sol,1,30,30,1.0,3.0,0.0798,0.00266
gpt-5.6-sol,2,30,29,0.9667,2.97,0.09435,0.003253
gpt-5.6-sol,3,30,15,0.5,2.5,0.079665,0.005311
gpt-5.6-sol,4,30,16,0.5333,2.47,0.122145,0.007634
gpt-5.6-sol,5,30,8,0.2667,2.13,0.184695,0.023087
gpt-5.6-sol-pro,1,30,30,1.0,3.0,0.54698,0.018233
gpt-5.6-sol-pro,2,30,30,1.0,3.0,0.602665,0.020089
gpt-5.6-sol-pro,3,30,12,0.4,2.4,0.564875,0.047073
gpt-5.6-sol-pro,4,30,16,0.5333,2.47,0.78328,0.048955
gpt-5.6-sol-pro,5,30,7,0.2333,2.17,1.08595,0.155136
gpt-5.6-terra,1,30,30,1.0,3.0,0.015894,0.00053
gpt-5.6-terra,2,30,30,1.0,3.0,0.018666,0.000622
gpt-5.6-terra,3,30,17,0.5667,2.57,0.015981,0.00094
gpt-5.6-terra,4,30,18,0.6,2.6,0.022569,0.001254
gpt-5.6-terra,5,30,12,0.4,2.3,0.026697,0.002225
gpt-5.6-terra-pro,1,30,30,1.0,3.0,0.116046,0.003868
gpt-5.6-terra-pro,2,30,30,1.0,3.0,0.128155,0.004272
gpt-5.6-terra-pro,3,30,17,0.5667,2.57,0.117495,0.006911
gpt-5.6-terra-pro,4,30,16,0.5333,2.53,0.153036,0.009565
gpt-5.6-terra-pro,5,30,12,0.4,2.3,0.170219,0.014185
kimi-k3,1,30,30,1.0,3.0,0.068802,0.002293
kimi-k3,2,30,29,0.9667,2.97,0.08298,0.002861
kimi-k3,3,30,18,0.6,2.6,0.092184,0.005121
kimi-k3,4,30,20,0.6667,2.67,0.140595,0.00703
kimi-k3,5,30,12,0.4,2.33,0.255249,0.021271
minimax-m3,1,30,29,0.9667,2.9,0.006818,0.000235
minimax-m3,2,30,29,0.9667,2.97,0.010213,0.000352
minimax-m3,3,30,16,0.5333,2.4,0.010087,0.00063
minimax-m3,4,30,17,0.5667,2.53,0.017746,0.001044
minimax-m3,5,30,11,0.3667,2.17,0.028836,0.002621
